GROUP,FAMILY,SPECIES,FEED MODE ,SIZE,MOBILITY,BIOTURBATION,STATION,TREATMENT,CORE,LAYER,COUNTS,ABUNDANCE,BIOMASS,Dry Weight_mg,Dry Weight_ug,Biomass_analysed_mg,Biomass_analysed_ug,n_analysed,Biomass.mg.C.m2,Biomass.mg.N.m2,N_µg,15N_at.percentage,δ15N_air,C_µg,δ13C_VPDB,Formalin.corrected_δ13C_VPDB,13C_at.percentage,Core area_m2,Actual_C.percentage,Actual_N.percentage,Sample_weight_mgC,Sample_weight_mgN,Sample_weight_ugC,Sample_weight_ugN,Sample_weight_ugC/m2,Sample_weight_ugN/m2,Sample_weight_mgCm2,Sample_weight_mgN/m2,Background_N_µg,Background_15N_at.percentage,Background_δ15N_air,Background_C_µg,Background_δ13C_VPDB,Background_Formalin.corrected_δ13C_VPDB,Background_13C_at.percentage,Δδ13C,R 13C sample,R 13C control,F 13C sample,F 13C control ,E 13C,I 13C_ugC,Algal labeling factor,I total_ugC,I.total..ug.C.m2.,I.total..mg.C.m2.,ug.C.mg.1,,Δδ13N,R 13N sample,R 13N control,F 13N sample,F 13N control ,E 13N,I 13C_ugN,Algal labeling factor,I total_ugN,I.total..ug.N.m2.,I.total..mg.N.m2.,ug.N.mg.1
Bivalve,Yoldiidae,Yoldiella sp.,FF/SDF,,,,ST435,IA,IA4,0-5cm,1,333.333,37.333,0.112,112,0.167,167,2,9.555,2.283,10.214,0.374,20.716,42.742,-21.097,-20.097,1.083,0.003,0.256,0.061,0.029,0.007,28.665,6.85,9555.042,2283.318,9.555,2.283,11.331,0.373,17.89,47.566,-23.481,-22.481,1.08,2.383,0.011,0.011,0.011,0.011,0,0.001,0.61,0.002,0.306,0,0.021,,2.827,0.004,0.004,0.004,0.004,0,0,0.365,0,0.048,0,0.014
Polychaeta,Cirratulidae,,FF/SDF,,,,ST435,IA,IA5,5-10cm,1,333.333,699,2.097,2097,2.097,2097,1,225.691,32.831,98.492,0.375,23.395,677.073,-21.556,-20.556,1.082,0.003,0.323,0.047,0.677,0.098,677.073,98.492,225691.01,32830.706,225.691,32.831,8.776,0.371,13.116,48.573,-25.708,-24.708,1.078,4.152,0.011,0.011,0.011,0.011,0,0.031,0.61,0.051,16.885,0.017,0.075,,10.279,0.004,0.004,0.004,0.004,0,0.004,0.365,0.01,3.374,0.003,0.103
Polychaeta,Cirratulidae,,FF/SDF,,,,ST435,IA,IA5,0-5cm,1,333.333,40,0.12,120,0.144,144,1,15.333,2.695,9.701,0.372,15.11,55.198,-24.725,-23.725,1.079,0.003,0.383,0.067,0.046,0.008,45.998,8.084,15332.741,2694.601,15.333,2.695,8.776,0.371,13.116,48.573,-25.708,-24.708,1.078,0.982,0.011,0.011,0.011,0.011,0,0.001,0.61,0.001,0.326,0,0.018,,1.994,0.004,0.004,0.004,0.004,0,0,0.365,0,0.064,0,0.02
Crustacea,Munnopsidae ,Ilyarachna,SDF,,,,ST435,IA,IA5,0-5cm,1,333.333,10.667,0.032,32,,0,,2.998,0.469,,,,,,,,0.003,0.281,0.044,0.009,0.001,8.994,1.406,2997.931,468.663,2.998,0.469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Opheliidae,Ophelina sp.,SSDF,,,,ST435,IA,IA5,0-5cm,1,333.333,129.667,0.389,389,0.389,389,1,42.155,11.312,33.935,0.373,17.937,126.466,-21.557,-20.557,1.082,0.003,0.325,0.087,0.126,0.034,126.466,33.935,42155.272,11311.683,42.155,11.312,15.088,0.372,14.928,55.215,-24.573,-23.573,1.079,3.016,0.011,0.011,0.011,0.011,0,0.004,0.61,0.007,2.291,0.002,0.054,,3.009,0.004,0.004,0.004,0.004,0,0,0.365,0.001,0.34,0,0.03
Sipuncula,Sipuncula,,SDF,,,,ST435,IA,IA5,0-5cm,1,333.333,155.333,0.466,466,0.466,466,1,29.989,6.677,20.03,0.373,18.302,89.966,-22.402,-21.402,1.081,0.003,0.193,0.043,0.09,0.02,89.966,20.03,29988.782,6676.694,29.989,6.677,16.376,0.372,14.861,73.922,-25.061,-24.061,1.078,2.659,0.011,0.011,0.011,0.011,0,0.003,0.61,0.004,1.437,0.001,0.048,,3.44,0.004,0.004,0.004,0.004,0,0,0.365,0.001,0.23,0,0.034
Polychaeta,Spionidae,Prionospio sp.,FF/SDF,,,,ST435,IA,IA5,5-10cm,1,333.333,305.333,0.916,916,0.916,916,1,78.951,15.199,45.597,0.4,92.403,236.854,44.454,45.454,1.154,0.003,0.259,0.05,0.237,0.046,236.854,45.597,78951.278,15199.111,78.951,15.199,13.156,0.37,11.004,53.203,-25.069,-24.069,1.078,69.524,0.012,0.011,0.012,0.011,0.001,0.181,0.61,0.297,98.842,0.099,1.252,,81.4,0.004,0.004,0.004,0.004,0,0.014,0.365,0.037,12.366,0.012,0.814
Polychaeta,Spionidae,Prionospio sp.,FF/SDF,,,,ST435,IA,IA5,0-5cm,1,333.333,112.333,0.337,337,0.337,337,1,36.567,8.994,26.982,0.86,1359.577,109.702,789.121,790.121,1.961,0.003,0.326,0.08,0.11,0.027,109.702,26.982,36567.255,8993.999,36.567,8.994,13.156,0.37,11.004,53.203,-25.069,-24.069,1.078,814.19,0.02,0.011,0.02,0.011,0.009,0.973,0.61,1.595,531.727,0.532,14.541,,1348.574,0.009,0.004,0.009,0.004,0.005,0.132,0.365,0.362,120.672,0.121,13.417
Bivalve,Thyasiridae,Axinopsida/Thyasira,FF/SDF,,,,ST435,IA,IA5,0-5cm,1,333.333,8.667,0.026,26,,0,,1.899,0.348,,,,,,,,0.003,0.219,0.04,0.006,0.001,5.698,1.044,1899.278,348.086,1.899,0.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bivalve,Yoldiidae,Yoldiella sp.,FF/SDF,,,,ST435,IA,IA5,0-5cm,1,333.333,18.333,0.055,55,,0,,4.692,1.121,,,,,,,,0.003,0.256,0.061,0.014,0.003,14.077,3.364,4692.208,1121.272,4.692,1.121,,,,,,,,,,,,,,,,,0.306,0,0.021,,,,,,,,,,,0.048,0,0.014
Polychaeta,Ampharetidae ,,SDF,,,,ST435,PP,PP1,0-5cm,1,333.333,32,0.096,96,0.096,96,1,11.544,1.979,5.937,0.371,11.938,34.632,-25.174,-24.174,1.078,0.003,0.361,0.062,0.035,0.006,34.632,5.937,11544.129,1979.074,11.544,1.979,3.407,0.37,9.292,22.18,-26.408,-25.408,1.077,1.234,0.011,0.011,0.011,0.011,0,0,0.538,0.001,0.291,0,0.025,,2.646,0.004,0.004,0.004,0.004,0,0,0.459,0,0.042,0,0.021
Cnidaria,Anthozoa,Anthozoa,P/S,,,,ST435,PP,PP1,0-5cm,1,333.333,0,0,0,,0,,0,0,,,,,,,,0.003,0.122,0.024,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Cirratulidae,,FF/SDF,,,,ST435,PP,PP1,0-5cm,1,333.333,590.333,1.771,1771,1.771,1771,1,208.931,45.479,136.437,0.371,13.347,626.794,-24.187,-23.187,1.079,0.003,0.354,0.077,0.627,0.136,626.794,136.437,208931.281,45478.943,208.931,45.479,11.438,0.37,10.787,56.624,-25.319,-24.319,1.078,1.133,0.011,0.011,0.011,0.011,0,0.008,0.538,0.015,4.839,0.005,0.023,,2.559,0.004,0.004,0.004,0.004,0,0.001,0.459,0.003,0.925,0.001,0.02
Polychaeta,Cirratulidae,,FF/SDF,,,,ST435,PP,PP1,0-5cm,1,333.333,417.667,1.253,1253,1.253,1253,1,148.724,37.617,112.851,0.371,12.217,446.171,-23.116,-22.116,1.08,0.003,0.356,0.09,0.446,0.113,446.171,112.851,148723.726,37617.136,148.724,37.617,8.776,0.371,13.116,48.573,-25.708,-24.708,1.078,2.591,0.011,0.011,0.011,0.011,0,0.013,0.538,0.024,7.881,0.008,0.053,,-0.9,0.004,0.004,0.004,0.004,0,0,0.459,-0.001,-0.269,0,-0.007
Polychaeta,Cirratulidae,,FF/SDF,,,,ST435,PP,PP1,0-5cm,1,333.333,41,0.123,123,0.123,123,1,8.774,1.915,5.745,0.373,19.425,26.323,-24.418,-23.418,1.079,0.003,0.214,0.047,0.026,0.006,26.323,5.745,8774.263,1914.929,8.774,1.915,11.438,0.37,10.787,56.624,-25.319,-24.319,1.078,0.901,0.011,0.011,0.011,0.011,0,0,0.538,0,0.162,0,0.018,,8.638,0.004,0.004,0.004,0.004,0,0,0.459,0,0.132,0,0.069
Crustacea,Gnathiidae,Gnathia stygia,,,,,ST435,PP,PP1,0-5cm,1,333.333,1925.667,5.777,5777,2.468,2468,1,322.263,41.757,53.517,0.374,22.013,413.023,-13.348,-12.348,1.091,0.003,0.167,0.022,0.967,0.125,966.788,125.27,322262.573,41756.587,322.263,41.757,67.413,0.371,13.952,470.242,-26.29,-25.29,1.077,12.942,0.011,0.011,0.011,0.011,0,0.059,0.538,0.109,36.437,0.036,0.113,,8.061,0.004,0.004,0.004,0.004,0,0.002,0.459,0.003,1.143,0.001,0.027
Polychaeta,unidentified,unidentified,,,,,ST435,PP,PP1,0-5cm,,,985.333,2.956,2956,,0,,320.75,78.891,,,,,,,,0.003,0.326,0.08,0.962,0.237,962.25,236.673,320750.161,78890.984,320.75,78.891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bivalve,Yoldiidae,Yoldiella sp.,FF/SDF,,,,ST435,PP,PP1,0-5cm,1,333.333,78,0.234,234,0.234,234,1,35.186,5.892,17.677,1.742,3822.763,105.558,857.168,858.168,2.034,0.003,0.451,0.076,0.106,0.018,105.558,17.677,35186.164,5892.461,35.186,5.892,11.331,0.373,17.89,47.566,-23.481,-22.481,1.08,880.649,0.021,0.011,0.02,0.011,0.01,1.012,0.538,1.883,627.558,0.628,17.835,,3804.874,0.018,0.004,0.017,0.004,0.014,0.242,0.459,0.527,175.794,0.176,29.834
Polychaeta,Cirratulidae,,FF/SDF,,,,ST435,PP,PP2,5-10cm,1,333.333,297.333,0.892,892,0.892,892,1,109.013,18.196,54.587,0.371,13.17,327.038,-24.818,-23.818,1.079,0.003,0.367,0.061,0.327,0.055,327.038,54.587,109012.653,18195.652,109.013,18.196,11.438,0.37,10.787,56.624,-25.319,-24.319,1.078,0.501,0.011,0.011,0.011,0.011,0,0.002,0.538,0.003,1.117,0.001,0.01,,2.383,0.004,0.004,0.004,0.004,0,0,0.459,0.001,0.345,0,0.019
Polychaeta,Cirratulidae,,FF/SDF,,,,ST435,PP,PP2,0-5cm,1,333.333,52.667,0.158,158,0.261,261,2,22.336,5.037,15.111,0.374,20.167,110.688,-23.178,-22.178,1.08,0.003,0.424,0.058,0.067,0.015,67.007,15.111,22335.543,5036.984,22.336,5.037,8.776,0.371,13.116,48.573,-25.708,-24.708,1.078,2.53,0.011,0.011,0.011,0.011,0,0.003,0.538,0.006,0.954,0.001,0.026,,7.05,0.004,0.004,0.004,0.004,0,0,0.459,0.001,0.141,0,0.028
Crustacea,Diastylidae,,FF/SDF,,,,ST435,PP,PP2,0-5cm,2,666.667,34.333,0.103,103,0.103,103,2,13.654,1.858,5.574,0.398,86.326,40.962,-7.969,-6.969,1.097,0.003,0.398,0.054,0.041,0.006,40.962,5.574,13653.949,1857.912,13.654,1.858,11.116,0.37,8.792,71.107,-24.177,-23.177,1.079,16.207,0.011,0.011,0.011,0.011,0,0.007,0.538,0.014,4.525,0.005,0.331,,77.535,0.004,0.004,0.004,0.004,0,0.002,0.459,0.003,1.145,0.001,0.616
Crustacea,Munnopsidae ,Ilyarachna,SDF,,,,ST435,PP,PP2,0-5cm,1,333.333,0,0,0,,0,,0,0,,,,,,,,0.003,0.281,0.044,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bivalve,Mytilidae ,Dacrydium sp.,SSDF,,,,ST435,PP,PP2,0-5cm,1,333.333,7,0.021,21,,0,,1.124,0.117,,,,,,,,0.003,0.161,0.017,0.003,0,3.373,0.35,1124.195,116.793,1.124,0.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nemertea,Nemertea,,P/S,,,,ST435,PP,PP2,0-5cm,1,333.333,71,0.213,213,0.213,213,1,27.488,6.178,18.533,0.375,24.313,82.463,-17.789,-16.789,1.086,0.003,0.387,0.087,0.082,0.019,82.463,18.533,27487.734,6177.632,27.488,6.178,130.418,0.372,14.969,564.388,-24.906,-23.906,1.078,7.118,0.011,0.011,0.011,0.011,0,0.006,0.538,0.012,4.001,0.004,0.146,,9.344,0.004,0.004,0.004,0.004,0,0.001,0.459,0.001,0.459,0,0.074
Echinodermata,Ophiurida,Ophiure ,FF/SDF,,,,ST435,PP,PP2,0-5cm,1,333.333,50,0.15,150,0.287,287,2,6.068,1.074,3.222,1.507,3162.681,34.83,475.318,476.318,1.623,0.003,0.121,0.011,0.018,0.003,18.204,3.222,6067.98,1073.945,6.068,1.074,1.731,0.37,9.195,24.196,-8.792,-7.792,1.096,484.109,0.017,0.011,0.016,0.011,0.005,0.184,0.538,0.343,57.146,0.057,4.922,,3153.486,0.015,0.004,0.015,0.004,0.011,0.037,0.459,0.08,13.309,0.013,12.393
Polychaeta,Spionidae,Prionospio sp.,FF/SDF,,,,ST435,PP,PP2,0-5cm,1,333.333,69.333,0.208,208,0.208,208,1,20.442,4.966,14.897,0.496,356.431,61.325,103.533,104.533,1.219,0.003,0.295,0.072,0.061,0.015,61.325,14.897,20441.673,4965.696,20.442,4.966,13.156,0.37,11.004,53.203,-25.069,-24.069,1.078,128.603,0.012,0.011,0.012,0.011,0.001,0.087,0.538,0.161,53.687,0.054,2.626,,345.427,0.005,0.004,0.005,0.004,0.001,0.019,0.459,0.041,13.62,0.014,2.743
Bivalve,Thyasiridae,Axinopsida/Thyasira,FF/SDF,,,,ST435,PP,PP2,0-5cm,1,333.333,33.667,0.101,101,,0,2,15.212,2.124,,,,,,,,0.003,0.452,0.063,0.046,0.006,45.636,6.371,15212.05,2123.544,15.212,2.124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,unidentified,unidentified,,,,,ST435,PP,PP2,0-5cm,,,1029,3.087,3087,,0,,334.965,82.387,,,,,,,,0.003,0.326,0.08,1.005,0.247,1004.894,247.162,334964.732,82387.168,334.965,82.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bivalve,Yoldiidae,Yoldiella sp.,FF/SDF,,,,ST435,PP,PP2,0-5cm,1,333.333,640,1.92,1920,1.92,1920,1,274.499,35.688,107.064,0.456,246.245,823.498,23.376,24.376,1.131,0.003,0.429,0.056,0.823,0.107,823.498,107.064,274499.364,35688.082,274.499,35.688,11.331,0.373,17.89,47.566,-23.481,-22.481,1.08,46.857,0.012,0.011,0.011,0.011,0.001,0.424,0.538,0.789,262.906,0.263,0.958,,228.356,0.005,0.004,0.005,0.004,0.001,0.089,0.459,0.194,64.737,0.065,1.814
Cnidaria,Alcyoniidae,Alcyonium sp.,FF/SDF,,,,ST435,PP,PP3,0-5cm,1,333.333,24,0.072,72,,0,,2.926,0.586,,,,,,,,0.003,0.122,0.024,0.009,0.002,8.778,1.758,2925.977,585.939,2.926,0.586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Ampharetidae ,,SDF,,,,ST435,PP,PP3,0-5cm,1,333.333,25,0.075,75,0.124,124,2,10.889,2.621,7.862,0.423,156.039,54.012,28.568,29.568,1.137,0.003,0.436,0.063,0.033,0.008,32.668,7.862,10889.478,2620.539,10.889,2.621,3.407,0.37,9.292,22.18,-26.408,-25.408,1.077,54.976,0.012,0.011,0.011,0.011,0.001,0.033,0.538,0.061,10.115,0.01,0.562,,146.747,0.004,0.004,0.004,0.004,0.001,0.004,0.459,0.009,1.528,0.002,0.583
Polychaeta,Cirratulidae,,FF/SDF,,,,ST435,PP,PP3,0-5cm,2,666.667,282.333,0.847,847,0.847,847,2,84.186,19.516,58.547,0.391,66.735,252.559,-5.224,-4.224,1.1,0.003,0.298,0.069,0.253,0.059,252.559,58.547,84186.466,19515.758,84.186,19.516,8.776,0.371,13.116,48.573,-25.708,-24.708,1.078,20.484,0.011,0.011,0.011,0.011,0,0.057,0.538,0.106,35.26,0.035,0.419,,53.619,0.004,0.004,0.004,0.004,0,0.011,0.459,0.025,8.318,0.008,0.426
Crustacea,Diastylidae,,FF/SDF,,,,ST435,PP,PP3,0-5cm,3,1000,116,0.348,348,0.348,348,3,39.197,6.356,19.068,0.401,95.211,117.592,1.705,2.705,1.108,0.003,0.338,0.055,0.118,0.019,117.592,19.068,39197.332,6355.866,39.197,6.356,11.116,0.37,8.792,71.107,-24.177,-23.177,1.079,25.882,0.011,0.011,0.011,0.011,0,0.033,0.538,0.062,20.742,0.021,0.529,,86.419,0.004,0.004,0.004,0.004,0,0.006,0.459,0.013,4.366,0.004,0.687
Crustacea,Gnathiidae,Gnathia stygia,,,,,ST435,PP,PP3,0-5cm,1,333.333,2636.333,7.909,7909,3.831,3831,1,698.429,51.341,74.606,0.373,17.046,1014.926,-20.479,-19.479,1.083,0.003,0.265,0.019,2.095,0.154,2095.287,154.023,698429.16,51340.984,698.429,51.341,67.413,0.371,13.952,470.242,-26.29,-25.29,1.077,5.811,0.011,0.011,0.011,0.011,0,0.065,0.538,0.121,40.207,0.04,0.058,,3.094,0.004,0.004,0.004,0.004,0,0.001,0.459,0.002,0.612,0.001,0.012
Bivalve,Mytilidae ,Dacrydium sp.,SSDF,,,,ST435,PP,PP3,0-5cm,1,333.333,317,0.951,951,0.951,951,1,45.112,8.352,25.057,0.775,1124.332,135.337,261.591,262.591,1.391,0.003,0.142,0.026,0.135,0.025,135.337,25.057,45112.264,8352.246,45.112,8.352,2.87,0.371,11.782,27.623,-10.804,-9.804,1.094,272.395,0.014,0.011,0.014,0.011,0.003,0.404,0.538,0.751,250.477,0.25,5.552,,1112.55,0.008,0.004,0.008,0.004,0.004,0.101,0.459,0.221,73.579,0.074,8.809
Nemertea,Nemertea,,P/S,,,,ST435,PP,PP3,0-5cm,1,333.333,43,0.129,129,0.129,129,1,16.159,3.176,9.529,0.39,64.129,48.476,-2.073,-1.073,1.103,0.003,0.376,0.074,0.048,0.01,48.476,9.529,16158.737,3176.498,16.159,3.176,130.418,0.372,14.969,564.388,-24.906,-23.906,1.078,22.833,0.011,0.011,0.011,0.011,0,0.012,0.538,0.023,7.544,0.008,0.467,,49.159,0.004,0.004,0.004,0.004,0,0.002,0.459,0.004,1.241,0.001,0.391
Echinodermata,Ophiurida,Ophiure ,FF/SDF,,,,ST435,PP,PP3,0-5cm,1,333.333,45.667,0.137,137,,0,,5.785,0.414,,,,,,,,0.003,0.127,0.009,0.017,0.001,17.356,1.242,5785.17,413.962,5.785,0.414,,,,,,,,,,,,,,,,,57.146,0.057,4.922,,,,,,,,,,,13.309,0.013,12.393
Polychaeta,Polynoidae,,P/S,,,,ST435,PP,PP3,0-5cm,1,333.333,47,0.141,141,0.141,141,1,15.631,3.301,9.904,0.431,176.12,46.894,51.323,52.323,1.162,0.003,0.333,0.07,0.047,0.01,46.894,9.904,15631.469,3301.236,15.631,3.301,11.76,0.37,11.499,54.41,-25.519,-24.519,1.078,76.842,0.012,0.011,0.012,0.011,0.001,0.04,0.538,0.074,24.545,0.025,1.57,,164.621,0.004,0.004,0.004,0.004,0.001,0.006,0.459,0.013,4.318,0.004,1.308
Bivalve,Propeamussiidae,Similipecten greenlandicus,SSDF,,,,ST435,PP,PP3,0-5cm,1,333.333,19.667,0.059,59,,0,,5.033,1.203,,,,,,,,0.003,0.256,0.061,0.015,0.004,15.1,3.608,5033.459,1202.819,5.033,1.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sipuncula,Sipuncula,,SDF,,,,ST435,PP,PP3,0-5cm,1,333.333,7.667,0.023,23,,0,,1.48,0.33,,,,,,,,0.003,0.193,0.043,0.004,0.001,4.44,0.989,1480.133,329.536,1.48,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Spionidae,Prionospio sp.,FF/SDF,,,,ST435,PP,PP3,0-5cm,1,333.333,55.333,0.166,166,0.166,166,1,12.665,3.02,9.059,0.373,19.011,37.995,-20.468,-19.468,1.083,0.003,0.229,0.055,0.038,0.009,37.995,9.059,12665.031,3019.687,12.665,3.02,9.366,0.37,10.22,37.094,-25.221,-24.221,1.078,4.753,0.011,0.011,0.011,0.011,0,0.002,0.538,0.004,1.231,0.001,0.097,,8.791,0.004,0.004,0.004,0.004,0,0,0.459,0.001,0.211,0,0.07
Bivalve,Thyasiridae,Axinopsida/Thyasira,FF/SDF,,,,ST435,PP,PP3,0-5cm,1,333.333,2.667,0.008,8,,0,,0.584,0.107,,,,,,,,0.003,0.219,0.04,0.002,0,1.753,0.321,584.393,107.103,0.584,0.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,unidentified,unidentified,,,,,ST435,PP,PP3,0-5cm,,,448.333,1.345,1345,,0,,145.943,35.896,,,,,,,,0.003,0.326,0.08,0.438,0.108,437.83,107.688,145943.494,35895.932,145.943,35.896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bivalve,Yoldiidae,Yoldiella sp.,FF/SDF,,,,ST435,PP,PP3,0-5cm,1,333.333,16,0.048,48,,0,,4.095,0.979,,,,,,,,0.003,0.256,0.061,0.012,0.003,12.285,2.936,4095.018,978.565,4.095,0.979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cnidaria,Alcyoniidae,Alcyonium sp.,FF/SDF,,,,ST435,PP,PP4,0-5cm,1,333.333,413.667,1.241,1241,1.241,1241,1,50.432,10.099,30.298,0.563,540.434,151.297,152.68,153.68,1.272,0.003,0.122,0.024,0.151,0.03,151.297,30.298,50432.457,10099.309,50.432,10.099,14.873,0.371,11.72,72.113,-24.478,-23.478,1.079,177.158,0.013,0.011,0.013,0.011,0.002,0.294,0.538,0.547,182.363,0.182,3.616,,528.714,0.006,0.004,0.006,0.004,0.002,0.058,0.459,0.127,42.371,0.042,4.195
Polychaeta,Cirratulidae,,FF/SDF,,,,ST435,PP,PP4,0-5cm,1,333.333,32.333,0.097,97,,0,,12.394,2.178,,,,,,,,0.003,0.383,0.067,0.037,0.007,37.182,6.534,12393.965,2178.136,12.394,2.178,,,,,,,,,,,,,,,,,0.954,0.001,0.026,,,,,,,,,,,0.141,0,0.028
Polychaeta,Nephtyidae,Micronephthys sp.,P/S,,,,ST435,PP,PP4,0-5cm,1,333.333,33,0.099,99,,0,,9.134,2.037,,,,,,,,0.003,0.277,0.062,0.027,0.006,27.401,6.112,9133.753,2037.317,9.134,2.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Opheliidae,Ophelina sp.,SSDF,,,,ST435,PP,PP4,0-5cm,2,666.667,229.667,0.689,689,0.689,689,2,80.26,19.195,57.584,0.373,18.063,240.781,-22.77,-21.77,1.081,0.003,0.349,0.084,0.241,0.058,240.781,57.584,80260.356,19194.64,80.26,19.195,15.088,0.372,14.928,55.215,-24.573,-23.573,1.079,1.803,0.011,0.011,0.011,0.011,0,0.005,0.538,0.009,2.959,0.003,0.037,,3.135,0.004,0.004,0.004,0.004,0,0.001,0.459,0.001,0.478,0,0.025
Sipuncula,Sipuncula,,SDF,,,,ST435,PP,PP4,0-5cm,1,333.333,72,0.216,216,0.216,216,1,17.609,3.754,11.262,0.376,26.307,52.826,-22.629,-21.629,1.081,0.003,0.245,0.052,0.053,0.011,52.826,11.262,17608.568,3753.864,17.609,3.754,16.376,0.372,14.861,73.922,-25.061,-24.061,1.078,2.432,0.011,0.011,0.011,0.011,0,0.001,0.538,0.003,0.876,0.001,0.05,,11.446,0.004,0.004,0.004,0.004,0,0,0.459,0.001,0.342,0,0.091
Polychaeta,Syllidae,,P/S,,,,ST435,PP,PP4,0-5cm,1,333.333,39,0.117,117,0.117,117,1,16.554,3.718,11.155,0.375,23.876,49.663,-21.112,-20.112,1.083,0.003,0.424,0.095,0.05,0.011,49.663,11.155,16554.168,3718.224,16.554,3.718,80.584,0.372,16.553,377.567,-24.878,-23.878,1.078,3.766,0.011,0.011,0.011,0.011,0,0.002,0.538,0.004,1.275,0.001,0.077,,7.323,0.004,0.004,0.004,0.004,0,0,0.459,0.001,0.216,0,0.058
Polychaeta,unidentified,unidentified,,,,,ST435,PP,PP4,0-5cm,,,290.333,0.871,871,,0,,94.511,23.246,,,,,,,,0.003,0.326,0.08,0.284,0.07,283.532,69.737,94510.619,23245.618,94.511,23.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Ampharetidae ,,SDF,,,,ST435,PP,PP5,0-5cm,1,333.333,16.333,0.049,49,,0,,5.892,1.01,,,,,,,,0.003,0.361,0.062,0.018,0.003,17.677,3.03,5892.316,1010.152,5.892,1.01,,,,,,,,,,,,,,,,,10.115,0.01,0.562,,,,,,,,,,,1.305,0.001,0.498
Polychaeta,Nephtyidae,Micronephthys sp.,P/S,,,,ST435,PP,PP5,0-5cm,1,333.333,33,0.099,99,0.198,198,1,9.134,2.037,12.224,0.38,36.249,54.803,-16.385,-15.385,1.088,0.003,0.277,0.062,0.027,0.006,27.401,6.112,9133.753,2037.317,9.134,2.037,11.178,0.373,18.207,43.762,-23.1,-22.1,1.08,6.715,0.011,0.011,0.011,0.011,0,0.004,0.538,0.008,2.508,0.003,0.137,,18.042,0.004,0.004,0.004,0.004,0,0.001,0.459,0.002,0.584,0.001,0.143
Polychaeta,Opheliidae,Ophelina sp.,SSDF,,,,ST435,PP,PP5,0-5cm,2,666.667,253,0.759,759,0.759,759,2,75.023,18.481,55.443,0.372,16.367,225.069,-23.591,-22.591,1.08,0.003,0.297,0.073,0.225,0.055,225.069,55.443,75022.919,18481.07,75.023,18.481,28.716,0.372,15.329,119.102,-24.644,-23.644,1.079,1.052,0.011,0.011,0.011,0.011,0,0.003,0.538,0.005,1.615,0.002,0.022,,1.038,0.004,0.004,0.004,0.004,0,0,0.459,0,0.153,0,0.008
Polychaeta,Ampharetidae ,,SDF,,,,ST407,C,C1,0-5cm,1,333.333,353.333,1.06,1060,1.06,1060,1,115.962,23.542,70.626,0.372,14.253,347.887,-25.021,-24.021,1.078,0.003,0.328,0.067,0.348,0.071,347.887,70.626,115962.353,23542.016,115.962,23.542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Lumbrineridae,Lumbrineris sp.,P/S,,,,ST407,C,C1,0-5cm,1,333.333,59.667,0.179,179,0.179,179,1,18.808,4.385,13.156,0.371,13.85,56.423,-24.205,-23.205,1.079,0.003,0.315,0.073,0.056,0.013,56.423,13.156,18807.544,4385.256,18.808,4.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Maldanidae,Maldane arctica,SSDF,Large,,,ST407,C,C1,5-10cm,1,333.333,720,2.16,2160,1.3,1300,1,202.542,51.922,93.747,0.373,17.123,365.701,-22.724,-21.724,1.081,0.003,0.281,0.072,0.608,0.156,607.626,155.765,202541.915,51921.666,202.542,51.922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echinodermata,Ophiurida,Ophiure,FF/SDF,,,,ST407,C,C1,0-5cm,1,333.333,23.333,0.07,70,,0,,6.907,1.465,,,,,,,,0.003,0.296,0.063,0.021,0.004,20.721,4.396,6906.889,1465.239,6.907,1.465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
